id_persona,informal,anios_estudio,edad,sexo,area,casado,fexp
224,0,4,55,1,0,1,129.49
225,0,2,41,0,0,1,178.41
226,1,0,22,0,0,1,480.14
227,0,5,51,1,1,1,380.35
228,0,14,23,1,1,0,347.76
229,0,1,39,1,1,1,417.63
230,1,2,28,1,1,0,107.41
231,1,16,33,1,1,0,436.7
232,0,11,50,0,1,1,317.67
233,0,17,26,0,1,1,200.9
234,0,14,23,1,1,0,417.13
235,0,11,33,0,1,1,411.15
236,0,15,46,1,1,0,430.57
237,1,7,20,0,1,0,101.98
238,0,13,37,0,0,1,486.21
239,0,16,53,1,1,0,481.83
240,1,7,36,1,0,0,210.86
241,0,14,43,1,0,1,79.65
242,1,13,20,1,0,1,125.18
243,0,17,36,0,1,1,496.77
244,0,6,37,0,1,1,303.36
245,1,2,49,1,0,1,210.48
246,0,11,24,1,1,1,179.69
247,0,2,58,0,1,1,165.65
248,0,13,50,1,0,0,348.87
249,1,14,57,0,1,0,238.72
250,0,13,56,0,1,1,484.43
251,0,6,35,0,1,1,357.73
252,0,16,57,1,1,1,406.42
253,0,11,18,1,1,1,181.73
254,1,3,28,0,0,1,85.63
255,0,8,45,1,0,0,269.52
256,1,5,42,0,0,0,191.56
257,0,15,40,0,1,0,140.94
258,1,1,48,0,0,0,478.69
259,1,7,47,0,0,0,249.79
260,1,10,59,0,1,0,128.62
261,0,12,52,1,1,1,139.39
262,0,16,24,1,1,1,176.32
263,0,7,33,1,0,1,499.69
264,1,17,43,0,0,1,170.61
265,0,17,19,0,0,0,197.96
266,0,13,18,0,0,1,346.7
267,0,14,29,0,0,1,182.28
268,1,5,22,1,1,1,147.11
269,0,10,54,0,1,0,121.39
270,0,12,49,1,0,0,190.71
271,1,0,26,1,1,0,97.66
272,0,5,58,0,1,1,58.39
273,1,8,52,1,0,1,412.09
274,0,7,36,1,1,1,112.05
275,0,10,33,1,0,1,399.19
276,0,18,20,1,0,1,408.89
277,1,8,37,0,1,1,292.06
278,0,16,41,0,0,0,189.36
279,0,11,50,0,1,0,115.26
280,0,13,41,0,0,1,381.56
281,0,14,28,1,1,0,320.62
282,1,15,25,0,1,1,344.95
283,1,0,53,1,0,1,53.9
284,0,9,55,1,0,1,467.38
285,0,7,57,0,1,1,79.83
286,0,17,37,0,1,1,215.06
287,1,0,52,1,1,1,231.22
288,0,1,42,1,1,0,50.61
289,1,0,52,1,1,0,273.69
290,0,0,42,0,1,0,388.76
291,0,8,46,0,1,1,420.47
292,0,12,35,0,1,0,445.73
293,1,0,63,0,1,0,269.47
294,0,12,35,1,1,0,333.79
295,0,6,19,1,1,1,85.78
296,0,1,52,1,1,1,269.62
297,0,5,33,1,1,1,119.67
298,0,6,58,1,0,1,216.34
299,0,13,53,0,0,1,198.19
300,0,17,50,0,0,1,240.59
301,0,14,21,1,1,1,307.24
302,1,1,50,0,1,1,456.29
303,0,9,31,1,0,0,227.52
304,0,11,38,1,1,1,491.51
305,0,16,37,0,1,0,391.56
306,1,7,25,1,0,0,280.17
307,0,10,24,1,1,1,339.81
308,1,2,20,1,1,0,96.0
309,0,5,34,1,1,0,430.03
310,0,8,50,1,1,1,312.06
311,0,5,29,0,1,0,493.73
312,0,8,39,0,1,1,336.39
313,1,6,39,1,0,1,425.35
314,0,8,63,1,1,1,409.89
315,0,17,47,0,1,1,205.46
316,0,11,55,0,1,1,166.82
317,1,7,55,1,0,1,243.72
318,0,7,62,1,1,1,260.26
319,0,17,25,1,0,1,158.04
320,0,14,44,1,1,1,452.57
321,0,6,44,0,0,1,294.15
322,0,10,51,0,0,0,490.3
323,1,15,38,1,1,0,414.51
324,0,3,47,0,0,1,300.07
325,1,5,50,0,1,0,476.17
326,0,2,45,0,1,0,277.19
327,0,8,64,1,1,1,449.2
328,0,9,50,1,0,0,211.17
329,0,13,22,0,0,0,220.39
330,0,10,36,0,1,1,238.16
331,0,17,21,1,1,1,295.98
332,1,11,52,1,1,0,299.07
333,0,11,34,0,1,1,273.38
334,0,12,61,0,0,1,187.7
335,0,12,45,0,1,0,467.24
336,0,18,47,1,1,0,314.86
337,0,18,46,0,0,1,233.48
338,0,13,63,0,0,1,343.03
339,0,3,23,1,1,1,395.59
340,0,12,52,1,0,1,482.33
341,0,7,58,0,0,1,274.8
342,0,18,54,1,1,0,100.44
343,0,11,41,0,0,1,248.34
344,0,17,46,1,0,0,265.54
345,0,5,63,0,1,1,453.65
346,0,17,48,1,1,1,227.66
347,0,18,52,0,1,0,479.0
348,0,4,50,1,1,1,268.31
349,1,8,38,1,1,0,488.2
350,0,2,49,1,1,0,53.69
351,0,9,40,1,1,1,454.47
352,0,18,50,1,1,0,469.0
353,0,2,20,0,1,1,482.46
354,0,14,35,0,0,0,55.88
355,1,0,42,1,1,1,127.27
356,0,6,59,0,1,1,344.19
357,0,11,48,1,0,1,61.46
358,0,16,20,1,0,1,78.62
359,0,4,57,0,1,1,149.49
360,0,3,63,1,1,0,280.6
361,0,11,41,0,1,0,295.66
362,0,17,49,1,0,0,65.42
363,0,16,64,0,0,0,126.67
364,0,18,39,0,1,1,274.87
365,0,8,40,1,1,0,317.27
366,1,3,19,1,0,1,116.78
367,1,1,44,1,1,1,229.48
368,1,3,59,1,0,0,456.98
369,0,1,19,0,1,1,499.5
370,0,14,43,1,1,0,494.25
371,1,1,34,0,1,1,446.75
372,0,3,57,1,1,0,227.6
373,0,5,50,1,0,1,358.96
374,0,6,26,1,1,1,237.47
375,1,9,60,1,1,0,341.84
376,0,18,56,0,0,0,189.24
377,0,18,46,1,1,1,322.79
378,0,11,59,0,0,0,285.69
379,1,2,43,1,1,1,61.02
380,0,12,52,0,1,1,405.82
381,0,17,42,1,1,0,55.35
382,0,7,41,1,0,1,181.92
383,0,14,30,0,1,1,52.67
384,1,0,24,0,1,1,219.29
385,1,2,53,1,1,1,78.42
386,0,7,62,0,0,0,461.08
387,1,3,37,0,1,0,237.06
388,0,15,18,0,1,1,256.77
389,0,9,25,0,0,1,207.43
390,0,11,63,1,0,0,332.38
391,1,13,33,1,1,1,402.98
392,0,13,31,0,1,1,341.67
393,1,1,29,0,0,0,386.69
394,0,4,40,0,0,1,457.69
395,1,4,32,0,0,0,438.6
396,0,5,45,0,1,1,353.33
397,0,12,51,0,1,0,146.59
398,0,8,19,0,1,1,336.97
399,0,14,49,1,1,0,277.74
400,0,13,40,0,1,1,372.75
401,1,6,39,1,0,1,424.82
402,0,1,42,1,0,0,384.22
403,0,6,39,1,0,1,430.95
404,1,5,39,1,1,1,78.74
405,0,16,59,1,1,0,64.23
406,1,1,23,1,0,1,166.33
407,1,2,32,1,1,0,455.3
408,0,4,60,1,1,1,420.65
409,0,4,54,1,1,1,357.23
410,1,0,50,1,0,1,365.34
411,0,7,25,0,1,0,377.0
412,0,11,61,0,1,0,474.17
413,1,3,61,0,0,1,424.49
414,0,12,22,1,1,1,330.53
415,0,14,56,1,0,1,349.57
416,0,10,21,1,1,1,146.18
417,0,9,23,1,1,0,345.79
418,0,2,62,0,1,0,241.11
419,1,13,49,0,1,0,118.83
420,0,15,47,1,0,0,412.88
421,0,9,64,1,1,0,279.61
422,0,9,52,1,1,0,489.84
423,0,11,57,0,1,0,176.76
424,1,8,33,1,1,0,266.3
425,0,0,30,1,1,0,251.6
426,1,4,59,1,1,0,104.35
427,0,7,47,1,0,0,241.75
428,0,10,36,1,1,0,179.4
429,0,11,34,0,1,1,122.14
430,1,0,36,1,1,0,176.97
431,0,10,45,1,1,0,154.96
432,0,4,43,1,0,0,380.33
433,0,14,54,1,0,0,63.85
434,1,4,43,0,1,0,327.86
435,0,11,40,0,1,1,392.3
436,1,4,26,1,0,1,266.33
437,0,16,29,1,1,0,469.2
438,0,16,18,1,0,0,368.55
439,0,11,18,0,1,1,386.57
440,0,14,64,1,1,0,138.62
441,0,14,51,1,0,0,399.78
442,0,5,49,1,0,1,424.44
443,0,11,42,0,0,1,212.57
444,0,17,57,1,1,0,146.01
445,0,13,62,1,0,1,223.27
446,0,1,18,0,0,0,382.82
447,0,8,33,1,1,0,237.94
448,0,4,56,1,1,1,381.49
449,1,0,22,1,1,0,101.1
450,0,2,39,0,1,0,412.71
451,0,5,46,0,0,1,163.94
452,1,4,20,0,1,1,162.02
453,0,4,29,0,1,0,315.67
454,1,0,43,0,1,1,81.55
455,1,16,33,1,1,1,61.83
456,0,18,54,0,1,1,167.46
457,0,13,39,1,1,0,292.13
458,0,11,46,1,1,0,458.43
459,1,9,31,1,0,0,430.9
460,1,17,45,1,0,0,270.7
461,1,10,22,1,0,0,66.67
462,1,1,64,1,0,1,290.86
463,0,17,47,0,1,1,367.16
464,0,6,63,0,0,0,202.62
465,0,14,22,1,1,1,99.98
466,0,10,29,1,0,0,175.36
467,0,17,33,0,0,1,397.21
468,0,11,43,1,1,1,208.06
469,1,5,43,1,0,1,415.39
470,1,12,38,0,1,1,193.78
471,0,15,56,1,1,0,123.6
472,0,17,53,1,0,0,246.13
473,0,9,50,0,0,1,253.52
474,0,7,47,1,0,1,57.25
475,0,17,54,0,0,0,102.67
476,0,0,40,1,0,0,133.22
477,0,7,27,0,0,1,101.11
478,1,5,22,0,0,0,203.69
479,0,4,53,1,1,0,484.08
480,0,14,51,1,1,1,279.15
481,1,14,48,0,1,0,332.4
482,0,1,27,0,0,0,210.37
483,1,0,36,1,0,1,195.57
484,0,10,49,0,1,1,60.42
485,0,9,18,0,1,1,275.15
486,0,17,22,0,1,0,267.62
487,0,17,62,0,0,0,121.02
488,0,16,21,1,1,1,393.95
489,0,7,33,1,1,1,271.7
490,0,14,41,0,0,0,202.55
491,0,7,33,1,1,1,116.11
492,0,16,19,0,1,0,298.47
493,1,11,45,1,0,0,388.77
494,1,7,49,1,0,0,176.9
495,0,13,44,0,1,0,148.46
496,0,3,37,1,1,0,284.87
497,1,0,41,1,0,1,119.9
498,1,0,29,0,0,1,349.98
499,0,18,52,0,0,1,322.4
500,0,15,50,0,1,0,89.19
501,0,13,50,1,0,0,66.43
502,1,15,60,1,1,0,329.13
503,0,4,54,1,0,0,182.43
504,0,8,29,1,1,1,88.9
505,0,1,20,1,1,1,391.74
506,1,17,18,1,1,1,191.32
507,1,5,50,1,1,0,256.82
508,0,8,57,0,1,0,156.57
509,1,0,27,1,1,1,332.29
510,0,8,60,1,0,0,185.67
511,0,15,61,0,1,1,485.61
512,1,12,46,1,0,1,366.33
513,0,8,30,0,1,0,111.53
514,0,12,29,0,1,1,237.51
515,0,8,48,1,0,1,223.44
516,0,10,63,0,1,0,290.41
517,1,3,19,0,0,1,428.87
518,0,1,52,0,0,0,312.54
519,0,5,40,1,1,0,77.7
520,0,13,34,0,0,1,344.94
521,1,3,43,1,1,1,53.72
522,1,5,25,0,0,0,400.98
523,0,18,46,1,0,0,349.99
524,0,5,43,1,0,1,188.95
525,0,1,27,0,0,1,181.6
526,0,17,43,0,1,1,409.22
527,0,12,51,0,1,0,402.5
528,1,8,58,1,1,1,208.54
529,0,18,24,0,1,0,184.53
530,0,12,21,0,0,1,301.92
531,0,10,62,0,1,0,53.76
532,1,0,28,0,0,1,87.2
533,1,6,46,0,0,0,106.78
534,0,14,53,1,1,0,133.44
535,1,0,42,1,0,0,280.41
536,0,11,38,0,0,0,496.51
537,0,6,53,1,1,1,343.68
538,0,14,27,0,1,1,77.58
539,0,18,54,1,1,1,286.51
540,1,0,26,1,0,0,273.49
541,0,16,41,1,0,1,114.88
542,0,16,52,1,1,1,464.12
543,1,2,52,0,0,0,248.34
544,0,11,53,1,1,0,497.55
545,1,5,35,1,0,1,239.03
546,0,10,56,0,1,1,323.58
547,0,2,49,1,0,1,97.14
548,1,7,41,0,1,0,254.4
549,0,13,40,1,1,1,157.44
550,0,13,49,0,1,0,426.0
551,0,9,54,0,0,1,402.76
552,1,1,29,1,1,1,420.88
553,0,13,30,1,1,0,375.62
554,1,8,40,0,0,1,424.71
555,0,2,42,0,1,0,140.37
556,0,7,52,1,0,1,253.42
557,0,15,58,0,0,0,361.33
558,0,1,47,0,1,0,336.83
559,1,5,34,1,0,0,372.36
560,0,11,37,1,1,0,150.92
561,0,4,42,0,1,0,94.3
562,1,1,39,1,1,1,462.56
563,0,15,30,1,1,1,302.08
564,1,4,36,1,1,1,119.22
565,0,14,53,1,0,0,407.05
566,0,11,29,0,0,1,461.72
567,0,3,58,0,1,0,126.3
568,0,14,36,0,0,1,417.84
569,0,10,29,1,0,0,469.95
570,0,15,26,0,1,1,472.26
571,0,5,24,1,1,1,461.37
572,0,13,45,0,1,1,295.89
573,0,17,31,0,0,0,210.3
574,0,11,48,1,0,0,53.27
575,0,10,36,0,0,0,77.41
576,1,12,64,0,1,1,242.98
577,0,10,33,1,1,1,229.7
578,0,15,22,0,1,0,133.12
579,1,14,52,1,1,1,227.97
580,0,14,29,1,1,1,128.59
581,0,3,42,0,1,1,431.96
582,0,10,38,1,0,0,184.19
583,0,18,53,0,1,0,319.35
584,0,14,40,0,1,0,276.28
585,1,3,33,0,1,1,73.35
586,1,12,56,0,1,1,474.01
587,0,18,62,1,1,1,287.25
588,1,1,59,0,1,1,196.28
589,0,13,56,1,1,1,121.16
590,1,3,31,1,1,1,202.34
591,0,15,48,1,0,1,59.23
592,0,13,22,0,0,0,213.6
593,0,14,52,0,1,1,289.17
594,0,2,40,1,1,1,442.34
595,0,7,46,0,0,0,359.32
596,0,15,60,0,1,0,100.21
597,1,9,28,0,0,0,116.49
598,1,3,35,0,0,1,242.66
599,0,17,64,1,1,1,138.07
600,1,1,29,0,0,1,62.53
601,0,16,26,0,0,1,412.26
602,0,12,27,0,0,0,58.79
603,0,3,61,1,1,0,423.81
604,0,10,34,1,1,0,114.85
605,0,6,55,0,1,1,488.61
606,1,11,24,1,1,0,321.74
607,1,9,63,1,0,1,380.74
608,0,6,30,1,1,1,99.72
609,0,12,57,1,0,0,437.95
610,1,6,59,0,1,0,427.64
611,0,16,26,0,1,1,343.85
612,1,9,44,0,1,1,276.02
613,0,9,19,0,0,0,374.67
614,0,3,22,1,1,1,52.67
615,0,3,46,0,0,1,316.6
616,1,6,54,0,0,0,431.33
617,0,0,55,1,1,0,210.6
618,0,11,36,1,0,0,98.73
619,0,12,25,0,1,1,239.39
620,1,9,62,0,0,0,377.2
621,0,14,18,0,0,0,98.29
622,0,12,39,1,1,0,142.72
623,0,8,34,0,1,1,116.4
624,0,8,24,0,1,1,408.63
625,0,14,42,0,1,1,78.3
626,1,9,62,0,1,1,358.96
627,1,9,21,1,0,1,214.91
628,0,7,53,0,1,0,390.11
629,0,15,23,0,1,0,483.97
630,0,16,48,1,1,1,101.55
631,0,4,36,1,1,0,191.47
632,0,3,61,0,1,0,414.56
633,0,17,56,1,1,1,169.77
634,0,18,44,1,1,0,146.8
635,0,3,27,1,0,0,421.42
636,1,6,43,0,0,1,494.19
637,0,9,36,1,1,1,300.6
638,0,17,56,0,0,0,175.12
639,0,18,20,0,1,1,229.35
640,0,3,62,0,0,1,126.56
641,0,9,30,0,1,1,392.85
642,1,0,45,1,0,0,398.06
643,1,17,37,0,0,0,443.8
644,0,4,45,0,1,1,61.97
645,0,14,25,1,1,1,302.89
646,0,16,58,0,1,1,146.41
647,1,2,56,0,1,0,203.4
648,0,11,18,0,1,0,403.23
649,0,1,20,0,1,1,136.42
650,0,0,30,0,1,0,337.25
651,1,16,45,1,0,1,344.55
652,0,15,42,0,1,0,479.34
653,0,4,50,0,1,0,398.82
654,0,14,55,1,1,1,411.64
655,0,2,23,1,0,1,289.22
656,0,6,61,0,1,0,134.05
657,0,10,62,1,1,0,241.5
658,0,9,49,0,1,1,297.27
659,0,8,62,0,0,0,355.29
660,0,13,64,0,1,1,323.47
661,1,12,38,0,0,1,227.29
662,1,1,33,1,0,0,169.39
663,0,2,38,0,1,1,125.7
664,0,6,28,1,1,0,362.23
665,0,17,54,0,1,1,340.43
666,0,2,53,1,1,0,359.32
667,1,9,52,1,0,1,217.64
668,1,6,36,1,0,0,168.08
669,1,8,37,0,1,0,391.87
670,0,16,35,1,0,1,398.14
671,1,10,64,0,0,1,255.03
672,0,6,58,1,0,1,325.36
673,1,13,31,1,0,0,218.08
674,0,18,32,1,1,1,365.88
675,0,3,48,0,0,0,426.07
676,0,5,18,0,1,0,359.7
677,0,9,20,0,0,1,280.66
678,0,6,33,0,1,0,256.4
679,0,12,40,1,0,1,339.04
680,0,13,28,1,1,1,355.91
681,1,3,29,1,1,1,301.43
682,1,7,27,0,0,1,331.22
683,1,4,49,1,1,1,93.46
684,1,0,33,1,0,0,478.29
685,0,3,25,1,1,1,405.85
686,0,2,55,1,0,0,218.27
687,0,8,29,0,1,0,303.27
688,0,7,41,1,0,1,71.3
689,0,0,45,0,1,1,68.55
690,0,5,25,0,0,1,162.86
691,1,8,45,0,0,0,360.37
692,0,6,53,1,1,1,433.47
693,1,3,43,1,1,0,301.63
694,0,12,25,1,0,1,289.46
695,0,16,45,1,0,1,231.04
696,0,1,45,0,0,1,122.72
697,0,4,54,0,0,0,103.26
698,0,11,58,0,0,0,392.31
699,0,7,53,0,1,0,467.38
700,0,5,44,0,0,1,256.23
701,0,7,34,0,0,1,346.75
702,0,17,26,0,1,0,461.51
703,1,2,50,1,0,1,90.55
704,0,11,37,0,0,1,396.72
705,1,2,30,1,0,1,327.57
706,0,5,45,1,1,1,319.39
707,0,1,46,0,0,1,181.64
708,0,11,30,0,1,0,357.75
709,0,1,63,0,0,0,407.66
710,0,5,52,0,1,0,100.79
711,0,16,23,1,0,1,290.08
712,0,2,35,0,1,1,95.57
713,0,1,22,0,1,1,442.66
714,0,7,64,0,1,0,278.44
715,1,11,42,1,0,0,413.58
716,0,3,19,1,0,0,215.64
717,1,4,27,1,0,0,106.29
718,0,12,47,0,0,1,68.67
719,0,14,62,1,0,1,176.68
720,0,15,22,1,1,1,159.91
721,1,9,50,1,1,1,302.16
722,0,15,18,1,1,0,59.78
723,0,11,35,0,1,0,284.26
724,1,16,49,1,1,0,226.3
725,0,15,64,1,0,1,309.71
726,0,11,28,0,1,1,366.09
727,0,7,38,0,0,0,335.34
728,1,2,43,1,1,0,493.09
729,0,15,42,0,1,0,112.22
730,0,12,39,1,1,0,243.38
731,0,18,44,1,1,1,241.17
732,0,7,30,1,0,0,237.67
733,0,4,50,0,0,1,348.71
734,0,7,51,1,1,1,270.42
735,0,11,58,0,1,1,282.84
736,0,0,52,0,1,0,244.56
737,0,5,18,0,0,0,496.26
738,1,17,38,1,0,1,467.4
739,0,7,23,0,0,0,188.48
740,0,6,45,1,0,0,100.22
741,0,0,34,1,1,1,427.89
742,0,15,22,1,1,1,498.73
743,0,11,48,1,1,1,181.67
744,0,5,22,0,1,0,211.0
745,0,1,55,1,1,1,473.73
746,0,13,20,0,1,0,370.01
747,1,3,40,1,0,0,183.04
748,0,0,54,0,1,1,311.47
749,1,17,54,0,0,1,474.9
750,0,12,27,1,0,1,415.32
751,1,1,27,0,1,1,383.82
752,1,8,36,0,0,1,381.65
753,1,1,34,1,0,1,130.11
754,1,8,38,1,0,1,421.11
755,0,0,31,1,0,1,174.25
756,0,10,26,0,1,1,468.66
757,0,2,63,1,0,1,214.09
758,1,3,18,0,0,1,435.95
759,0,17,62,1,1,0,169.81
760,0,5,30,1,0,1,281.54
761,0,2,21,1,1,0,98.1
762,1,10,18,0,0,0,347.05
763,0,14,57,0,1,0,426.24
764,1,4,49,0,1,1,373.3
765,0,9,51,0,1,1,285.47
766,0,11,45,0,1,0,70.3
767,0,14,48,1,1,0,470.05
768,0,16,25,0,0,0,367.47
769,0,9,56,1,1,1,385.64
770,0,5,43,0,0,0,407.61
771,0,17,51,1,1,0,386.48
772,0,12,20,1,0,0,248.5
773,1,2,29,0,0,1,380.13
774,0,9,18,0,0,0,331.26
